Date,Close
1/2/2019 16:00:00,1.03
1/3/2019 16:00:00,1.06
1/4/2019 16:00:00,1.05
1/7/2019 16:00:00,1.08
1/8/2019 16:00:00,1.08
1/9/2019 16:00:00,1.16
1/10/2019 16:00:00,0.99
1/11/2019 16:00:00,0.99
1/14/2019 16:00:00,0.94
1/15/2019 16:00:00,0.96
1/16/2019 16:00:00,0.99
1/17/2019 16:00:00,0.96
1/18/2019 16:00:00,0.97
1/22/2019 16:00:00,0.96
1/23/2019 16:00:00,0.99
1/24/2019 16:00:00,1
1/25/2019 16:00:00,1.01
1/28/2019 16:00:00,0.99
1/29/2019 16:00:00,1
1/30/2019 16:00:00,0.99
1/31/2019 16:00:00,1.01
2/1/2019 16:00:00,1
2/4/2019 16:00:00,1
2/5/2019 16:00:00,1
2/6/2019 16:00:00,1.01
2/7/2019 16:00:00,1
2/8/2019 16:00:00,0.99
2/11/2019 16:00:00,1
2/12/2019 16:00:00,1.01
2/13/2019 16:00:00,0.99
2/14/2019 16:00:00,0.98
2/15/2019 16:00:00,0.98
2/19/2019 16:00:00,0.99
2/20/2019 16:00:00,0.97
2/21/2019 16:00:00,0.99
2/22/2019 16:00:00,0.98
2/25/2019 16:00:00,0.99
2/26/2019 16:00:00,0.98
2/27/2019 16:00:00,1
2/28/2019 16:00:00,1.01
3/1/2019 16:00:00,1
3/4/2019 16:00:00,1.01
3/5/2019 16:00:00,1
3/6/2019 16:00:00,0.98
3/7/2019 16:00:00,0.99
3/8/2019 16:00:00,1.05
3/11/2019 16:00:00,1.03
3/12/2019 16:00:00,1.06
3/13/2019 16:00:00,1.1
3/14/2019 16:00:00,1.05
3/15/2019 16:00:00,1.06
3/18/2019 16:00:00,1.05
3/19/2019 16:00:00,1.03
3/20/2019 16:00:00,1.05
3/21/2019 16:00:00,1.05
3/22/2019 16:00:00,1.03
3/25/2019 16:00:00,1.04
3/26/2019 16:00:00,1.06
3/27/2019 16:00:00,1.13
3/28/2019 16:00:00,1.13
3/29/2019 16:00:00,1.1
4/1/2019 16:00:00,1.15
4/2/2019 16:00:00,1.18
4/3/2019 16:00:00,1.19
4/4/2019 16:00:00,1.16
4/5/2019 16:00:00,1.18
4/8/2019 16:00:00,1.23
4/9/2019 16:00:00,1.23
4/10/2019 16:00:00,1.25
4/11/2019 16:00:00,1.25
4/12/2019 16:00:00,1.14
4/15/2019 16:00:00,1.19
4/16/2019 16:00:00,1.21
4/17/2019 16:00:00,1.21
4/18/2019 16:00:00,1.17
4/22/2019 16:00:00,1.19
4/23/2019 16:00:00,1.23
4/24/2019 16:00:00,1.19
4/25/2019 16:00:00,1.23
4/26/2019 16:00:00,1.29
4/29/2019 16:00:00,1.27
4/30/2019 16:00:00,1.29
5/1/2019 16:00:00,1.29
5/2/2019 16:00:00,1.31
5/3/2019 16:00:00,1.32
5/6/2019 16:00:00,1.31
5/7/2019 16:00:00,1.32
5/8/2019 16:00:00,1.28
5/9/2019 16:00:00,1.26
5/10/2019 16:00:00,1.24
5/13/2019 16:00:00,1.24
5/14/2019 16:00:00,1.21
5/15/2019 16:00:00,1.17
5/16/2019 16:00:00,1.14
5/17/2019 16:00:00,1.1
5/20/2019 16:00:00,1.1
5/21/2019 16:00:00,1.03
5/22/2019 16:00:00,1.03
5/23/2019 16:00:00,1.11
5/24/2019 16:00:00,1.07
5/28/2019 16:00:00,1.05
5/29/2019 16:00:00,1.09
5/30/2019 16:00:00,1.07
5/31/2019 16:00:00,1.08
6/3/2019 16:00:00,1.09
6/4/2019 16:00:00,1.08
6/5/2019 16:00:00,1.16
6/6/2019 16:00:00,1.1
6/7/2019 16:00:00,1.11
6/10/2019 16:00:00,1.14
6/11/2019 16:00:00,1.14
6/12/2019 16:00:00,1.13
6/13/2019 16:00:00,1.13
6/14/2019 16:00:00,1.15
6/17/2019 16:00:00,1.14
6/18/2019 16:00:00,1.12
6/19/2019 16:00:00,1.13
6/20/2019 16:00:00,1.16
6/21/2019 16:00:00,1.22
6/24/2019 16:00:00,1.16
6/25/2019 16:00:00,1.15
6/26/2019 16:00:00,1.15
6/27/2019 16:00:00,1.13
6/28/2019 16:00:00,1.14
7/1/2019 16:00:00,1.11
7/2/2019 16:00:00,1.11
7/3/2019 13:00:00,1.09
7/5/2019 16:00:00,1.09
7/8/2019 16:00:00,1.06
7/9/2019 16:00:00,1.1
7/10/2019 16:00:00,1.1
7/11/2019 16:00:00,1.07
7/12/2019 16:00:00,1.05
7/15/2019 16:00:00,1.05
7/16/2019 16:00:00,1.04
7/17/2019 16:00:00,1.06
7/18/2019 16:00:00,1.07
7/19/2019 16:00:00,1.07
7/22/2019 16:00:00,1.06
7/23/2019 16:00:00,1.06
7/24/2019 16:00:00,1.06
7/25/2019 16:00:00,1.08
7/26/2019 16:00:00,1.06
7/29/2019 16:00:00,1.04
7/30/2019 16:00:00,1.02
7/31/2019 16:00:00,1.01
8/1/2019 16:00:00,1.03
8/2/2019 16:00:00,1.02
8/5/2019 16:00:00,0.99
8/6/2019 16:00:00,1.03
8/7/2019 16:00:00,1.01
8/8/2019 16:00:00,1
8/9/2019 16:00:00,1.02
8/12/2019 16:00:00,0.99
8/13/2019 16:00:00,0.98
8/14/2019 16:00:00,1
8/15/2019 16:00:00,0.98
8/16/2019 16:00:00,0.99
8/19/2019 16:00:00,1
8/20/2019 16:00:00,1
8/21/2019 16:00:00,0.98
8/22/2019 16:00:00,1
8/23/2019 16:00:00,1
8/26/2019 16:00:00,1.01
8/27/2019 16:00:00,1.01
8/28/2019 16:00:00,0.98
8/29/2019 16:00:00,0.97
8/30/2019 16:00:00,0.98
9/3/2019 16:00:00,0.99
9/4/2019 16:00:00,0.98
9/5/2019 16:00:00,0.95
9/6/2019 16:00:00,0.99
9/9/2019 16:00:00,0.99
9/10/2019 16:00:00,0.99
9/11/2019 16:00:00,0.99
9/12/2019 16:00:00,0.98
9/13/2019 16:00:00,0.97
9/16/2019 16:00:00,0.99
9/17/2019 16:00:00,0.95
9/18/2019 16:00:00,0.95
9/19/2019 16:00:00,0.97
9/20/2019 16:00:00,0.99
9/23/2019 16:00:00,0.97
9/24/2019 16:00:00,0.98
9/25/2019 16:00:00,0.96
9/26/2019 16:00:00,0.97
9/27/2019 16:00:00,0.97
9/30/2019 16:00:00,0.96
10/1/2019 16:00:00,0.95
10/2/2019 16:00:00,0.94
10/3/2019 16:00:00,0.94
10/4/2019 16:00:00,0.95
10/7/2019 16:00:00,0.91
10/8/2019 16:00:00,0.92
10/9/2019 16:00:00,0.91
10/10/2019 16:00:00,0.88
10/11/2019 16:00:00,0.89
10/14/2019 16:00:00,0.91
10/15/2019 16:00:00,0.89
10/16/2019 16:00:00,0.9
10/17/2019 16:00:00,0.9
10/18/2019 16:00:00,0.95
10/21/2019 16:00:00,0.93
10/22/2019 16:00:00,0.93
10/23/2019 16:00:00,0.93
10/24/2019 16:00:00,0.91
10/25/2019 16:00:00,0.91
10/28/2019 16:00:00,0.93
10/29/2019 16:00:00,0.91
10/30/2019 16:00:00,0.91
10/31/2019 16:00:00,0.9
11/1/2019 16:00:00,0.91
11/4/2019 16:00:00,0.89
11/5/2019 16:00:00,0.91
11/6/2019 16:00:00,0.92
11/7/2019 16:00:00,0.9
11/8/2019 16:00:00,0.9
11/11/2019 16:00:00,0.9
11/12/2019 16:00:00,0.91
11/13/2019 16:00:00,0.87
11/14/2019 16:00:00,0.89
11/15/2019 16:00:00,0.86
11/18/2019 16:00:00,0.89
11/19/2019 16:00:00,0.91
11/20/2019 16:00:00,0.94
11/21/2019 16:00:00,0.9
11/22/2019 16:00:00,0.88
11/25/2019 16:00:00,0.9
11/26/2019 16:00:00,0.85
11/27/2019 16:00:00,0.86
11/29/2019 13:00:00,0.87
12/2/2019 16:00:00,0.88
12/3/2019 16:00:00,0.89
12/4/2019 16:00:00,0.87
12/5/2019 16:00:00,0.87
12/6/2019 16:00:00,0.86
12/9/2019 16:00:00,0.88
12/10/2019 16:00:00,0.84
12/11/2019 16:00:00,0.85
12/12/2019 16:00:00,0.85
12/13/2019 16:00:00,0.93
12/16/2019 16:00:00,0.95
12/17/2019 16:00:00,0.98
12/18/2019 16:00:00,0.99
12/19/2019 16:00:00,0.95
12/20/2019 16:00:00,1
12/23/2019 16:00:00,0.98
12/24/2019 13:00:00,0.99
12/26/2019 16:00:00,1.18
12/27/2019 16:00:00,1.15
12/30/2019 16:00:00,1.18
