Date,Close
5/10/2019 16:00:00,41.57
5/13/2019 16:00:00,37.1
5/14/2019 16:00:00,39.96
5/15/2019 16:00:00,41.29
5/16/2019 16:00:00,43
5/17/2019 16:00:00,41.91
5/20/2019 16:00:00,41.59
5/21/2019 16:00:00,41.5
5/22/2019 16:00:00,41.25
5/23/2019 16:00:00,40.47
5/24/2019 16:00:00,41.51
5/28/2019 16:00:00,40.95
5/29/2019 16:00:00,39.94
5/30/2019 16:00:00,39.8
5/31/2019 16:00:00,40.41
6/3/2019 16:00:00,41.25
6/4/2019 16:00:00,42.75
6/5/2019 16:00:00,45
6/6/2019 16:00:00,44.92
6/7/2019 16:00:00,44.16
6/10/2019 16:00:00,42.61
6/11/2019 16:00:00,42.45
6/12/2019 16:00:00,42.17
6/13/2019 16:00:00,44.31
6/14/2019 16:00:00,43.23
6/17/2019 16:00:00,43.78
6/18/2019 16:00:00,43.86
6/19/2019 16:00:00,44.86
6/20/2019 16:00:00,43.86
6/21/2019 16:00:00,44
6/24/2019 16:00:00,43.09
6/25/2019 16:00:00,43.09
6/26/2019 16:00:00,42.5
6/27/2019 16:00:00,45.13
6/28/2019 16:00:00,46.38
7/1/2019 16:00:00,44.27
7/2/2019 16:00:00,44
7/3/2019 13:00:00,44.23
7/5/2019 16:00:00,43.53
7/8/2019 16:00:00,42.95
7/9/2019 16:00:00,44.2
7/10/2019 16:00:00,43.7
7/11/2019 16:00:00,43.99
7/12/2019 16:00:00,43.99
7/15/2019 16:00:00,44.53
7/16/2019 16:00:00,44.13
7/17/2019 16:00:00,43.62
7/18/2019 16:00:00,43.71
7/19/2019 16:00:00,43.18
7/22/2019 16:00:00,43.69
7/23/2019 16:00:00,43.36
7/24/2019 16:00:00,43.76
7/25/2019 16:00:00,43.4
7/26/2019 16:00:00,44.52
7/29/2019 16:00:00,43.88
7/30/2019 16:00:00,42.59
7/31/2019 16:00:00,42.14
8/1/2019 16:00:00,41.31
8/2/2019 16:00:00,40.4
8/5/2019 16:00:00,39.05
8/6/2019 16:00:00,39.15
8/7/2019 16:00:00,39.7
8/8/2019 16:00:00,42.97
8/9/2019 16:00:00,40.05
8/12/2019 16:00:00,37
8/13/2019 16:00:00,36.45
8/14/2019 16:00:00,33.96
8/15/2019 16:00:00,33.22
8/16/2019 16:00:00,35.23
8/19/2019 16:00:00,34.61
8/20/2019 16:00:00,35.29
8/21/2019 16:00:00,34.91
8/22/2019 16:00:00,34
8/23/2019 16:00:00,33.43
8/26/2019 16:00:00,33.31
8/27/2019 16:00:00,33.11
8/28/2019 16:00:00,32.59
8/29/2019 16:00:00,32.76
8/30/2019 16:00:00,32.57
9/3/2019 16:00:00,30.7
9/4/2019 16:00:00,31.99
9/5/2019 16:00:00,32.51
9/6/2019 16:00:00,31.86
9/9/2019 16:00:00,32.24
9/10/2019 16:00:00,33.51
9/11/2019 16:00:00,34
9/12/2019 16:00:00,34.07
9/13/2019 16:00:00,33.25
9/16/2019 16:00:00,34.43
9/17/2019 16:00:00,34.29
9/18/2019 16:00:00,34.26
9/19/2019 16:00:00,33.82
9/20/2019 16:00:00,32.6
9/23/2019 16:00:00,33
9/24/2019 16:00:00,31.3
9/25/2019 16:00:00,31.68
9/26/2019 16:00:00,31.57
9/27/2019 16:00:00,30.29
9/30/2019 16:00:00,30.47
10/1/2019 16:00:00,29.15
10/2/2019 16:00:00,29
10/3/2019 16:00:00,29.72
10/4/2019 16:00:00,29.67
10/7/2019 16:00:00,30.37
10/8/2019 16:00:00,29.28
10/9/2019 16:00:00,29.07
10/10/2019 16:00:00,28.87
10/11/2019 16:00:00,30.13
10/14/2019 16:00:00,31.12
10/15/2019 16:00:00,32
10/16/2019 16:00:00,31.87
10/17/2019 16:00:00,32.62
10/18/2019 16:00:00,32.06
10/21/2019 16:00:00,31.41
10/22/2019 16:00:00,32.53
10/23/2019 16:00:00,33.05
10/24/2019 16:00:00,33.28
10/25/2019 16:00:00,32.71
10/28/2019 16:00:00,33.22
10/29/2019 16:00:00,32.42
10/30/2019 16:00:00,33.75
10/31/2019 16:00:00,31.5
11/1/2019 16:00:00,31.37
11/4/2019 16:00:00,31.08
11/5/2019 16:00:00,28.02
11/6/2019 16:00:00,26.94
11/7/2019 16:00:00,27.38
11/8/2019 16:00:00,27.01
11/11/2019 16:00:00,27.14
11/12/2019 16:00:00,26.7
11/13/2019 16:00:00,26.71
11/14/2019 16:00:00,25.99
11/15/2019 16:00:00,26.79
11/18/2019 16:00:00,26.75
11/19/2019 16:00:00,27.05
11/20/2019 16:00:00,28.03
11/21/2019 16:00:00,29.46
11/22/2019 16:00:00,29.56
11/25/2019 16:00:00,29.11
11/26/2019 16:00:00,29.53
11/27/2019 16:00:00,29.49
11/29/2019 13:00:00,29.6
12/2/2019 16:00:00,28.98
12/3/2019 16:00:00,29.02
12/4/2019 16:00:00,29.06
12/5/2019 16:00:00,28.65
12/6/2019 16:00:00,27.86
12/9/2019 16:00:00,27.68
12/10/2019 16:00:00,27.89
12/11/2019 16:00:00,28.42
12/12/2019 16:00:00,28.69
12/13/2019 16:00:00,28.49
12/16/2019 16:00:00,30.05
12/17/2019 16:00:00,29.75
12/18/2019 16:00:00,30.13
12/19/2019 16:00:00,29.99
12/20/2019 16:00:00,30.45
12/23/2019 16:00:00,30.33
12/24/2019 13:00:00,30.44
12/26/2019 16:00:00,30.67
12/27/2019 16:00:00,30.17
12/30/2019 16:00:00,29.74
