Date,Close
1/2/2020 16:00:00,25.25
1/3/2020 16:00:00,25.31
1/6/2020 16:00:00,24.74
1/7/2020 16:00:00,24.33
1/8/2020 16:00:00,24.42
1/9/2020 16:00:00,23.79
1/10/2020 16:00:00,23.8
1/13/2020 16:00:00,24.2
1/14/2020 16:00:00,24.17
1/15/2020 16:00:00,24.56
1/16/2020 16:00:00,24.86
1/17/2020 16:00:00,24.77
1/21/2020 16:00:00,24.4
1/22/2020 16:00:00,24.38
1/23/2020 16:00:00,24.18
1/24/2020 16:00:00,23.5
1/27/2020 16:00:00,22.99
1/28/2020 16:00:00,22.99
1/29/2020 16:00:00,22.77
1/30/2020 16:00:00,22.59
1/31/2020 16:00:00,21.94
2/3/2020 16:00:00,22.21
2/4/2020 16:00:00,22.99
2/5/2020 16:00:00,23.32
2/6/2020 16:00:00,23.53
2/7/2020 16:00:00,23.34
2/10/2020 16:00:00,23.44
2/11/2020 16:00:00,23.79
2/12/2020 16:00:00,23.97
2/13/2020 16:00:00,23.62
2/14/2020 16:00:00,23.63
2/18/2020 16:00:00,23.35
2/19/2020 16:00:00,22.93
2/20/2020 16:00:00,23.35
2/21/2020 16:00:00,23.69
2/24/2020 16:00:00,22.35
2/25/2020 16:00:00,20.77
2/26/2020 16:00:00,19.59
2/27/2020 16:00:00,18.91
2/28/2020 16:00:00,18.26
3/2/2020 16:00:00,18.83
3/3/2020 16:00:00,18.06
3/4/2020 16:00:00,17.95
3/5/2020 16:00:00,16.48
3/6/2020 16:00:00,16.28
3/9/2020 16:00:00,13.61
3/10/2020 16:00:00,14.16
3/11/2020 16:00:00,11.98
3/12/2020 16:00:00,8.68
3/13/2020 16:00:00,9.31
3/16/2020 16:00:00,6.89
3/17/2020 16:00:00,6.11
3/18/2020 16:00:00,4.92
3/19/2020 16:00:00,6.09
3/20/2020 16:00:00,6.7
3/23/2020 16:00:00,6.74
3/24/2020 16:00:00,7.57
3/25/2020 16:00:00,8.96
3/26/2020 16:00:00,9.93
3/27/2020 16:00:00,8.79
3/30/2020 16:00:00,8.19
3/31/2020 16:00:00,7.91
4/1/2020 16:00:00,7.35
4/2/2020 16:00:00,6.5
4/3/2020 16:00:00,6.04
4/6/2020 16:00:00,7.2
4/7/2020 16:00:00,7.36
4/8/2020 16:00:00,7.98
4/9/2020 16:00:00,8.25
4/13/2020 16:00:00,7.95
4/14/2020 16:00:00,8.12
