Date,Close
1/2/2020 16:00:00,53.75
1/3/2020 16:00:00,53.42
1/6/2020 16:00:00,53.1
1/7/2020 16:00:00,52.66
1/8/2020 16:00:00,52.82
1/9/2020 16:00:00,52.73
1/10/2020 16:00:00,52.5
1/13/2020 16:00:00,52.11
1/14/2020 16:00:00,49.3
1/15/2020 16:00:00,48.32
1/16/2020 16:00:00,49.25
1/17/2020 16:00:00,49.18
1/21/2020 16:00:00,48.94
1/22/2020 16:00:00,48.56
1/23/2020 16:00:00,48.22
1/24/2020 16:00:00,47.57
1/27/2020 16:00:00,47.1
1/28/2020 16:00:00,47.37
1/29/2020 16:00:00,47.27
1/30/2020 16:00:00,47.91
1/31/2020 16:00:00,46.94
2/3/2020 16:00:00,47.12
2/4/2020 16:00:00,47.26
2/5/2020 16:00:00,48.31
2/6/2020 16:00:00,47.98
2/7/2020 16:00:00,47.84
2/10/2020 16:00:00,47.77
2/11/2020 16:00:00,47.99
2/12/2020 16:00:00,47.79
2/13/2020 16:00:00,48.12
2/14/2020 16:00:00,48.22
2/18/2020 16:00:00,46.99
2/19/2020 16:00:00,47.09
2/20/2020 16:00:00,47.34
2/21/2020 16:00:00,47.7
2/24/2020 16:00:00,46.39
2/25/2020 16:00:00,45.12
2/26/2020 16:00:00,44.14
2/27/2020 16:00:00,42.47
2/28/2020 16:00:00,40.85
3/2/2020 16:00:00,42.26
3/3/2020 16:00:00,40.53
3/4/2020 16:00:00,41.4
3/5/2020 16:00:00,38.9
3/6/2020 16:00:00,37.09
3/9/2020 16:00:00,32.48
3/10/2020 16:00:00,35.08
3/11/2020 16:00:00,32.33
3/12/2020 16:00:00,27.2
3/13/2020 16:00:00,30.89
3/16/2020 16:00:00,26.5
3/17/2020 16:00:00,29.63
3/18/2020 16:00:00,28.12
3/19/2020 16:00:00,28.29
3/20/2020 16:00:00,26.5
3/23/2020 16:00:00,25.25
3/24/2020 16:00:00,28.92
3/25/2020 16:00:00,28.97
3/26/2020 16:00:00,30.9
3/27/2020 16:00:00,30.28
3/30/2020 16:00:00,29.92
3/31/2020 16:00:00,28.7
4/1/2020 16:00:00,26.57
4/2/2020 16:00:00,27.22
4/3/2020 16:00:00,26.23
4/6/2020 16:00:00,28.63
4/7/2020 16:00:00,28.77
4/8/2020 16:00:00,30.28
4/9/2020 16:00:00,33.2
4/13/2020 16:00:00,31.43
4/14/2020 16:00:00,30.18
4/15/2020 16:00:00,28.44
4/16/2020 16:00:00,26.89
4/17/2020 16:00:00,28.38
4/20/2020 16:00:00,27.68
4/21/2020 16:00:00,26.84
4/22/2020 16:00:00,26.8
4/23/2020 16:00:00,26.53
4/24/2020 16:00:00,26.92
4/27/2020 16:00:00,28.41
4/28/2020 16:00:00,28.87
4/29/2020 16:00:00,30
4/30/2020 16:00:00,29.05
5/1/2020 16:00:00,27.59
5/4/2020 16:00:00,27.35
5/5/2020 16:00:00,26.32
5/6/2020 16:00:00,25.61
5/7/2020 16:00:00,25.23
