Date,Close
1/2/2020 16:00:00,30.99
1/3/2020 16:00:00,31.37
1/6/2020 16:00:00,31.58
1/7/2020 16:00:00,32.81
1/8/2020 16:00:00,33.93
1/9/2020 16:00:00,33.97
1/10/2020 16:00:00,34.01
1/13/2020 16:00:00,34.14
1/14/2020 16:00:00,34.84
1/15/2020 16:00:00,35.01
1/16/2020 16:00:00,34.68
1/17/2020 16:00:00,35.13
1/21/2020 16:00:00,37.6
1/22/2020 16:00:00,37.04
1/23/2020 16:00:00,37.4
1/24/2020 16:00:00,36.8
1/27/2020 16:00:00,36.3
1/28/2020 16:00:00,37.01
1/29/2020 16:00:00,36.99
1/30/2020 16:00:00,36.68
1/31/2020 16:00:00,36.29
2/3/2020 16:00:00,37.59
2/4/2020 16:00:00,38.53
2/5/2020 16:00:00,36.81
2/6/2020 16:00:00,37.09
2/7/2020 16:00:00,40.63
2/10/2020 16:00:00,40.01
2/11/2020 16:00:00,41.27
2/12/2020 16:00:00,41.25
2/13/2020 16:00:00,40.09
2/14/2020 16:00:00,39.66
2/18/2020 16:00:00,40.18
2/19/2020 16:00:00,41.05
2/20/2020 16:00:00,40.92
2/21/2020 16:00:00,40.72
2/24/2020 16:00:00,38.31
2/25/2020 16:00:00,35.89
2/26/2020 16:00:00,34.45
2/27/2020 16:00:00,32.45
2/28/2020 16:00:00,33.87
3/2/2020 16:00:00,32.85
3/3/2020 16:00:00,33.04
3/4/2020 16:00:00,34.53
3/5/2020 16:00:00,32.21
3/6/2020 16:00:00,31.68
3/9/2020 16:00:00,28.17
3/10/2020 16:00:00,28.97
3/11/2020 16:00:00,26.24
3/12/2020 16:00:00,22.61
3/13/2020 16:00:00,22.6
3/16/2020 16:00:00,20.29
3/17/2020 16:00:00,18.91
3/18/2020 16:00:00,14.82
3/19/2020 16:00:00,20.49
3/20/2020 16:00:00,21.33
3/23/2020 16:00:00,22.4
3/24/2020 16:00:00,26.39
3/25/2020 16:00:00,26.19
3/26/2020 16:00:00,28.12
3/27/2020 16:00:00,27.28
3/30/2020 16:00:00,27.83
3/31/2020 16:00:00,27.92
4/1/2020 16:00:00,25.42
4/2/2020 16:00:00,23.68
4/3/2020 16:00:00,22.82
4/6/2020 16:00:00,25.99
4/7/2020 16:00:00,25.74
4/8/2020 16:00:00,26.94
4/9/2020 16:00:00,27.11
4/13/2020 16:00:00,27.99
4/14/2020 16:00:00,27.75
4/15/2020 16:00:00,27.41
4/16/2020 16:00:00,27.03
4/17/2020 16:00:00,28
4/20/2020 16:00:00,28.19
4/21/2020 16:00:00,27.19
4/22/2020 16:00:00,28.24
4/23/2020 16:00:00,28.33
4/24/2020 16:00:00,29.49
4/27/2020 16:00:00,30.08
4/28/2020 16:00:00,30.12
4/29/2020 16:00:00,31.37
4/30/2020 16:00:00,30.27
5/1/2020 16:00:00,28.39
5/4/2020 16:00:00,27.42
5/5/2020 16:00:00,28.07
5/6/2020 16:00:00,27.82
5/7/2020 16:00:00,30.93
5/8/2020 16:00:00,32.79
5/11/2020 16:00:00,31.64
5/12/2020 16:00:00,32.4
5/13/2020 16:00:00,33.02
5/14/2020 16:00:00,32.79
5/15/2020 16:00:00,32.47
5/18/2020 16:00:00,33.62
5/19/2020 16:00:00,33.4
5/20/2020 16:00:00,34.48
5/21/2020 16:00:00,34.26
5/22/2020 16:00:00,34.83
5/26/2020 16:00:00,34.56
5/27/2020 16:00:00,34.88
5/28/2020 16:00:00,34.15
5/29/2020 16:00:00,36.32
6/1/2020 16:00:00,35.82
6/2/2020 16:00:00,35.81
6/3/2020 16:00:00,36.75
6/4/2020 16:00:00,36.43
6/5/2020 16:00:00,37.21
6/8/2020 16:00:00,37.08
6/9/2020 16:00:00,36.59
6/10/2020 16:00:00,34.83
6/11/2020 16:00:00,31.1
6/12/2020 16:00:00,32.24
6/15/2020 16:00:00,32.67
6/16/2020 16:00:00,33.49
6/17/2020 16:00:00,33.29
6/18/2020 16:00:00,33.4
6/19/2020 16:00:00,32.3
6/22/2020 16:00:00,32.68
6/23/2020 16:00:00,33.05
6/24/2020 16:00:00,30.46
6/25/2020 16:00:00,30.58
6/26/2020 16:00:00,29.61
6/29/2020 16:00:00,29.63
6/30/2020 16:00:00,31.08
7/1/2020 16:00:00,30.43
7/2/2020 16:00:00,30.68
7/6/2020 16:00:00,32.52
7/7/2020 16:00:00,32.82
7/8/2020 16:00:00,33.93
7/9/2020 16:00:00,33.15
7/10/2020 16:00:00,33.14
7/13/2020 16:00:00,31.72
7/14/2020 16:00:00,30.93
7/15/2020 16:00:00,32.81
7/16/2020 16:00:00,32.35
7/17/2020 16:00:00,32.55
7/20/2020 16:00:00,33.66
7/21/2020 16:00:00,32.55
7/22/2020 16:00:00,32.66
7/23/2020 16:00:00,32.17
7/24/2020 16:00:00,31.18
7/27/2020 16:00:00,30.99
7/28/2020 16:00:00,30.81
7/29/2020 16:00:00,31.02
7/30/2020 16:00:00,30.24
7/31/2020 16:00:00,30.26
8/3/2020 16:00:00,31.19
8/4/2020 16:00:00,32.68
8/5/2020 16:00:00,33.2
8/6/2020 16:00:00,34.71
8/7/2020 16:00:00,32.9
8/10/2020 16:00:00,32.27
8/11/2020 16:00:00,31.21
8/12/2020 16:00:00,30.84
8/13/2020 16:00:00,30.46
8/14/2020 16:00:00,29.99
8/17/2020 16:00:00,29.48
8/18/2020 16:00:00,30.08
8/19/2020 16:00:00,29.42
8/20/2020 16:00:00,31.41
8/21/2020 16:00:00,30.83
8/24/2020 16:00:00,31.04
8/25/2020 16:00:00,31.19
